iter	Passed	Remaining
615	12072	36491
616	12091	36471
617	12110	36448
618	12129	36426
619	12147	36403
620	12166	36380
621	12184	36357
622	12203	36334
623	12221	36310
624	12239	36287
625	12263	36282
626	12282	36260
627	12300	36236
628	12319	36213
629	12338	36192
630	12356	36169
631	12375	36146
632	12393	36123
633	12412	36100
634	12430	36076
635	12448	36053
636	12467	36033
637	12486	36012
638	12505	35989
639	12523	35966
640	12541	35942
641	12560	35919
642	12578	35897
643	12597	35876
644	12616	35854
645	12634	35830
646	12653	35808
647	12671	35786
648	12690	35763
649	12708	35740
650	12726	35716
651	12745	35695
652	12765	35675
653	12784	35654
654	12802	35632
655	12821	35609
656	12839	35586
657	12857	35564
658	12877	35544
659	12895	35520
660	12915	35501
661	12934	35482
662	12952	35459
663	12971	35437
664	12989	35413
665	13008	35391
666	13026	35367
667	13044	35345
668	13063	35323
669	13082	35301
670	13101	35281
671	13121	35263
672	13141	35244
673	13158	35220
674	13176	35197
675	13195	35174
676	13213	35152
677	13233	35133
678	13253	35114
679	13272	35093
680	13290	35071
681	13309	35050
682	13328	35029
683	13348	35011
684	13367	34990
685	13386	34968
686	13404	34946
687	13422	34923
688	13442	34904
689	13462	34884
690	13481	34863
691	13499	34840
692	13518	34819
693	13537	34800
694	13557	34781
695	13576	34759
696	13594	34736
697	13612	34714
698	13630	34691
699	13650	34672
700	13670	34653
701	13689	34632
702	13707	34610
703	13726	34589
704	13745	34567
705	13764	34547
706	13783	34526
707	13802	34506
708	13821	34484
709	13839	34462
710	13858	34441
711	13878	34423
712	13898	34405
713	13917	34385
714	13937	34365
715	13956	34346
716	13976	34326
717	13995	34305
718	14013	34284
719	14032	34263
720	14051	34241
721	14070	34220
722	14089	34200
723	14109	34181
724	14127	34159
725	14146	34138
726	14164	34116
727	14183	34094
728	14201	34071
729	14220	34050
730	14238	34028
731	14256	34006
732	14279	33993
733	14298	33972
734	14317	33952
735	14335	33930
736	14354	33909
737	14372	33887
738	14390	33864
739	14409	33842
740	14428	33822
741	14447	33801
742	14466	33780
743	14485	33759
744	14503	33737
745	14522	33717
746	14541	33696
747	14559	33674
748	14578	33652
749	14597	33631
750	14615	33610
751	14634	33589
752	14652	33567
753	14671	33545
754	14689	33523
755	14708	33501
756	14727	33481
757	14746	33462
758	14766	33442
759	14784	33421
760	14803	33400
761	14822	33378
762	14841	33358
763	14860	33337
764	14878	33316
765	14898	33298
766	14918	33279
767	14937	33260
768	14956	33237
769	14975	33219
770	14994	33198
771	15013	33176
772	15032	33156
773	15051	33135
774	15069	33114
775	15088	33093
776	15107	33073
777	15127	33055
778	15147	33037
779	15166	33016
780	15185	32995
781	15204	32974
782	15224	32956
783	15243	32936
784	15261	32914
785	15279	32892
786	15298	32871
787	15317	32850
788	15336	32831
789	15355	32811
790	15374	32790
791	15394	32770
792	15413	32751
793	15432	32731
794	15452	32711
795	15471	32691
796	15490	32671
797	15509	32650
798	15528	32630
799	15547	32611
800	15567	32593
801	15587	32573
802	15609	32560
803	15632	32547
804	15655	32536
805	15678	32524
806	15701	32511
807	15722	32496
808	15747	32486
809	15769	32472
810	15788	32452
811	15807	32432
812	15825	32411
813	15845	32392
814	15864	32371
815	15884	32353
816	15904	32334
817	15923	32313
818	15942	32294
819	15962	32276
820	15983	32259
821	16007	32249
822	16028	32232
823	16050	32218
824	16073	32205
825	16094	32188
826	16114	32170
827	16134	32151
828	16154	32132
829	16174	32114
830	16193	32094
831	16213	32075
832	16233	32057
833	16253	32039
834	16280	32035
835	16299	32014
836	16317	31991
837	16335	31969
838	16354	31948
839	16373	31929
840	16392	31907
841	16411	31887
842	16429	31864
843	16447	31842
844	16466	31822
845	16485	31801
846	16504	31781
847	16522	31759
848	16541	31738
849	16560	31717
850	16579	31696
851	16598	31676
852	16616	31655
853	16634	31633
854	16653	31612
855	16672	31592
856	16692	31573
857	16711	31552
858	16729	31531
859	16747	31509
860	16765	31487
861	16785	31468
862	16804	31448
863	16823	31428
864	16842	31407
865	16862	31387
866	16883	31371
867	16907	31359
868	16928	31344
869	16950	31329
870	16972	31315
871	16994	31299
872	17014	31281
873	17035	31263
874	17054	31244
875	17075	31226
876	17096	31209
877	17115	31190
878	17133	31168
879	17152	31148
880	17171	31127
881	17191	31108
882	17210	31088
883	17230	31068
884	17250	31051
885	17269	31031
886	17288	31010
887	17309	30992
888	17327	30972
889	17347	30952
890	17367	30933
891	17386	30914
892	17406	30895
893	17429	30881
894	17449	30863
895	17469	30845
896	17489	30826
897	17508	30806
898	17529	30787
899	17554	30778
900	17575	30761
901	17596	30744
902	17615	30724
903	17634	30703
904	17653	30683
905	17672	30663
906	17690	30641
907	17709	30620
908	17728	30599
909	17747	30579
910	17766	30559
911	17786	30540
912	17804	30520
913	17824	30500
914	17843	30480
915	17863	30461
916	17883	30443
917	17903	30424
918	17922	30403
919	17941	30384
920	17961	30364
921	17980	30344
